100	0.053637	0.0853572
200	0.115161	0.192648
300	0.185167	0.365903
400	0.322378	0.662498
500	0.497395	1.04998
600	0.723347	1.54661
700	0.968533	2.09982
800	1.2448	2.71132
900	1.58034	3.45229
1000	1.93127	4.24831
