100	0.0378236	0.0142346	0.0237258
200	0.195401	0.0688721	0.107906
300	0.471719	0.126025	0.196453
400	0.648365	0.192899	0.330053
500	1.02433	0.296194	0.504385
600	1.48143	0.43038	0.730475
700	2.04506	0.621217	1.0273
800	2.77455	0.795254	1.31031
900	3.44511	1.09688	1.66404
1000	4.2254	1.27322	2.06205
